Theme,Name,Description,Methodological Notes,Source Data,Citation source,Organization,Method,Resolution,Item,Start Date,End Date
Demographics,Population,Gridded population disaggregated by gender.,Global raster files are processed for each hexagonal grid using zonal statistics.,"WorldPop gridded population, 2020, Unconstrained, UN-Adjusted, https://www.worldpop.org/methods/top_down_constrained_vs_unconstrained/","Stevens FR, Gaughan AE, Linard C, Tatem AJ (2015) Disaggregating Census Data for Population Mapping Using Random Forests with Remotely-Sensed and Ancillary Data. ","World Pop, https://www.worldpop.org/methods/populations",sum,100 mts,world_pop,,
Socio-economic,Nighttime Lights,Sum of luminosity values measured by monthly composites from VIIRS satellite.,Monthly composites generated by NASA through the Lights Every Night partnership.,"World Bank - Light Every Night, https://registry.opendata.aws/wb-light-every-night/",tbd,"NASA, World Bank",sum,500 mts,nighttime_lights,,
Climate,Flood Area,"Area where flood depth is greater than 50 cm, 1-in-100 or 1000 return period.","Flood data combines fluvial, pluvial, and coastal flood exposure using the maximum value. Return period indicates likelihood of disaster (1 in 100 years).","Fathom 3.0 High Resolution Global Flood Maps Including Climate Scenarios, https://datacatalog.worldbank.org/search/dataset/0065653/Fathom-3-0---High-Resolution-Global-Flood-Maps-Including-Climate-Scenarios",Wing et al. (2024) A 30 m Global Flood Inundation Model for Any Climate Scenario. https://doi.org/10.1029/2023WR036460,"Fathom, https://www.fathom.global/",sum,30 mts,,,
Climate,Population Exposed to Floods,"Population where flood depth is greater than 15 cm, 1-in-100 return period.",Flood data is intersected with population grid to estimate population exposed.,"Fathom 3.0 High Resolution Global Flood Maps Including Climate Scenarios, https://datacatalog.worldbank.org/search/dataset/0065653/Fathom-3-0---High-Resolution-Global-Flood-Maps-Including-Climate-Scenarios",Wing et al. (2024) A 30 m Global Flood Inundation Model for Any Climate Scenario. https://doi.org/10.1029/2023WR036460,"Fathom, https://www.fathom.global/",sum of intersect,30 mts and 100 mts,flood_exposure_15cm_1in100,,
Conflict,Number of Conflict Events,Sum of conflict events (ACLED).,Conflict data is filtered for event types and then aggregated by hexagon (count).,"Armed Conflict Location and Event Data (ACLED), https://acleddata.com/data/",https://acleddata.com/article-categories/general-methodology/,"ACLED, https://acleddata.com/",count,point data,,,
Conflict,Number of Conflict Fatalities,Sum of estimated fatalities from conflcit events (ACLED).,Conflict data is filtered for event types and then aggregated by hexagon (sum of fatalities).,"Armed Conflict Location and Event Data (ACLED), https://acleddata.com/data/",https://acleddata.com/article-categories/general-methodology/,"ACLED, https://acleddata.com/",sum,point data,,,
Urbanization,Urbanization by population and by area,"Urbanization is analyzed using the GHS-SMOD dataset, including comparisons with population",Global raster files are processed for each hexagonal grid using zonal statistics.,Global Human Settlement Layer (https://human-settlement.emergency.copernicus.eu/degurbaDefinitions.php),"Pesaresi M., Ehrlich D., Ferri S., Florczyk A.J., Freire S., Halkia S., Julea A.M., Kemper T., Soille P. and V. Syrris. Operating procedure for the production of the Global Human Settlement Layer from Landsat data of the epochs 1975, 1990, 2000, and 2014. Publications Office of the European Union, EUR 27741 EN, 2016. doi: 10.2788/253582.",Copernicus Emergency Management Service,sum,1000m,urbanization_ghssmod,,
Urbanization,Built area,Built area (in m2) in 5-year epochs. Source data report built area as total m2 built in 100m pixels at a global scale.,Zonal statistics are calculated as simple sum of built area in metres squared.,https://human-settlement.emergency.copernicus.eu/datasets.php,"Pesaresi M., Schiavina M., Politis P., Freire S., Krasnodębska K., Uhl J. H., Carioli A., Corbane C., Dijkstra L., Florio P., Friedrich H. K., Gao J., Leyk S., Lu L., Maffenini L., Mari-Rivero I., Melchiorri M., Syrris V., Van Den Hoek J., Kemper T. Advances on the Global Human Settlement Layer by joint assessment of Earth Observation and population survey data, International Journal of Digital Earth 17 (1), 2024 10.1080/17538947.2024.2390454
",Copernicus Emergency Management Service,sum,100m,builtarea_ghsl,,
Climate,Standardized Precipitation Index (SPI),Index for a given timescale measuring drought severity based on precipitation anomalies (SPI) ,Processed by Benny Instanto (GOST). The SPI was constructed with a 6-month timescale window based on precidipation data from CHIRPS. The resulting index is standardized (-3 to +3) and stored as a netcdf (~5km resolution). The netcdf was converted to h3 using the h3ronpy raster_to_dataframe function which uses the centroid value for each cell.,CHIRPS3,tbd,"Climate Hazards Center, World Bank",sample,5km,climate,1/1/70,1/1/70
Landslides,Landslide Susceptibility Index,Global landslide susceptibility raster (relative index) intended for regional screening and landslide nowcasting workflows.,"Derived from a heuristic/fuzzy overlay of static factors including terrain slope, geology, proximity to faults and roads, and forest loss.",NASA GPM Landslides Program — Global Landslide Susceptibility Map (GeoTIFF). (https://gpm.nasa.gov/sites/default/files/downloads/global-landslide-susceptibility-map-2-27-23.tif),"Stanley, T., & Kirschbaum, D. B. (2017). A heuristic approach to global landslide susceptibility mapping. Natural Hazards, 87(1), 145–164. doi:10.1007/s11069-017-2757-y",NASA,mean,30 arc-seconds (~1km),landslide_susceptibility,1/1/2017,12/31/2017
